Label,HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,Head X,Head Y,Head Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
moving,0.0546045,0.0040958,0.078707,0.0595488,0.0046609,0.077096,0.0788537,0.0129858,0.074163,0.0714143,0.0055702,0.0766,0.0823475,0.0043391,0.086503,0.0706037,0.0098437,0.100754,0.0755479,0.0128953,0.085612,0.0712228,0.011362,0.097449,0.07605858,0.0133219,0.0992,0.08167877,0.0160119,0.149891,0.04293711,0.0091442,0.133823,0.0359345,0.0422897,0.050888,0.0529686,0.0059747,0.070565,0.0434245,0.0135475,0.1643,0.0566826,0.0533364,0.187032,0.0698864,0.0922431,0.134128,0.0447171,0.0030517,0.086721,0.0467423,0.0715436,0.05116,0.0330895,0.0683652,0.024846,0.0248687,0.0391821,0.059024
moving,0.0044997,0.0114505,0.041209,0.006385,0.0109738,0.044201,0.017681,0.0086084,0.063078,0.0195314,0.0149975,0.04815,0.0114261,0.0125881,0.058861,0.0124163,0.0095231,0.041423,0.0145097,0.0237626,0.036746,0.011536,0.0169159,0.059919,0.01200664,0.0106671,0.052708,0.01403975,0.0049074,0.050005,0.028685956,0.0163935,0.082401,0.0419923,0.0115728,0.049241,0.0048329,0.0089257,0.0417,0.0129931,0.0147121,0.032627,0.0277659,0.011728,0.054872,0.052863,0.0428982,0.115211,0.0039709,0.0085191,0.047273,0.0073376,0.0089251,0.028948,0.0071261,0.0169184,0.031623,0.0019653,0.0170479,0.031692
moving,0.0186066,0.01065,0.063608,0.0284009,0.0105605,0.066076,0.0497451,0.010122,0.076654,0.0141319,0.0062609,0.070729,0.024121,0.0110784,0.104793,0.0272614,0.0124352,0.081443,0.0192865,0.0135386,0.080253,0.0395787,0.0132134,0.15607,0.01822171,0.007263,0.062676,0.038787807,0.0195654,0.075342,0.0163408,0.025558,0.031131,0.01555836,0.012129,0.073279,0.0151537,0.0131889,0.073759,0.0148942,0.0039439,0.046944,0.0064422,0.0393954,0.017524,0.0092562,0.0393851,0.016089,0.0145913,0.0103213,0.046586,0.0157146,0.0215703,0.120317,0.0227876,0.0243811,0.135602,0.0537686,0.0287147,0.134167
moving,0.0039455,0.0026211,0.060243,0.0040474,0.0036571,0.060542,0.007389,0.0067306,0.061919,0.0082632,0.0048549,0.058022,0.0129607,0.0141157,0.062556,0.0124355,0.0142784,0.058167,0.0498894,0.0367632,0.087707,0.0459463,0.0182992,0.053881,0.0223638,0.0084896,0.068036,0.01032,0.0094261,0.039922,0.01896249,0.0574156,0.064453,0.0122378,0.0077324,0.052213,0.0054644,0.0025649,0.065874,0.0027565,0.0049198,0.040884,0.0016602,0.0392605,0.0322,0.0138274,0.0647482,0.046918,0.0072728,0.0070745,0.055476,0.0112456,0.0372378,0.084016,0.0110209,0.0381418,0.138611,0.0377938,0.0597473,0.085745
moving,0.1107719,0.0045783,0.288761,0.1290656,0.0067965,0.283934,0.1497511,0.0126027,0.278499,0.1249142,0.0145683,0.282027,0.1479629,0.0579207,0.254015,0.1609095,0.0353498,0.239941,0.1084262,0.0205164,0.231813,0.0674441,0.0313594,0.212816,0.12961724,0.0100476,0.35048,0.1732048,0.031551,0.379798,0.091341905,0.0201536,0.373556,0.10567526,0.0195438,0.334779,0.1078484,0.010663,0.264314,0.1060241,0.0263452,0.39518,0.0900525,0.0297995,0.430675,0.1261192,0.0394897,0.349788,0.09769539,0.0070285,0.314926,0.09240885,0.0913528,0.237066,0.20809076,0.0110572,0.503025,0.20713453,0.0979424,0.560997
moving,0.0055846,0.0079104,0.019039,0.0107095,0.0081342,0.018969,0.0137802,0.004706,0.027012,0.008423,0.0029857,0.025508,0.0097469,0.0200186,0.044251,0.0086121,0.0095296,0.02572,0.0112791,0.0060946,0.028136,0.0073327,0.0075528,0.033476,0.005137987,0.0053834,0.01573,0.0079158,0.0512649,0.070484,0.03722535,0.0279784,0.071235,0.02393254,0.0086176,0.05004,0.0057453,0.0081232,0.027162,0.0030613,0.0038232,0.013114,0.0033078,0.0056257,0.013191,0.0059238,0.0320899,0.024287,0.00372535,0.0082175,0.026637,0.00568725,0.0069366,0.016183,0.03162295,0.0106534,0.007398,0.03198716,0.0101825,0.007575
moving,0.013021,0.0076682,0.030513,0.0149912,0.0079633,0.030515,0.0299499,0.0048047,0.035605,0.0168434,0.0043699,0.035424,0.0188706,0.006684,0.042193,0.0253694,0.0075899,0.059561,0.0080643,0.0105173,0.061365,0.0330565,0.0196775,0.046776,0.01770814,0.0118343,0.030245,0.03469686,0.0247633,0.031217,0.039448022,0.0409018,0.041363,0.024789988,0.0124575,0.048591,0.0105445,0.0058484,0.037249,0.0217131,0.0090433,0.029411,0.0010856,0.0047295,0.003943,0.0054541,0.0337271,0.036856,0.0115493,0.0072965,0.029444,0.01258452,0.0247936,0.04747,0.010212,0.0229696,0.018371,0.0987093,0.0189048,0.054718
moving,0.0029848,0.0086741,0.011722,0.0041366,0.0073209,0.012916,0.0060873,0.0026763,0.020415,0.0075843,0.0046891,0.016322,0.0078236,0.0071753,0.030281,0.0214606,0.0092002,0.035268,0.005911,0.0080983,0.030109,0.0045197,0.0154332,0.025183,0.00689816,0.0114339,0.015377,0.015081642,0.0050991,0.009698,0.024082924,0.0189025,0.013709,0.032346365,0.0054039,0.01858,0.0034434,0.0107411,0.029761,0.0062763,0.0012742,0.008009,0.0047374,0.0036786,0.004845,0.004781,0.0310701,0.046623,0.0086483,0.0035957,0.031985,0.0043881,0.0098589,0.031436,0.0244387,0.0248544,0.011734,0.0273513,0.0372087,0.011694
moving,0.002106,0.0022089,0.013404,0.0033624,0.0024176,0.014949,0.0024775,0.0026868,0.018894,0.0045514,0.002784,0.012731,0.0027723,0.0032425,0.013853,0.0274468,0.0042004,0.038333,0.0926158,0.0277183,0.02275,0.1453363,0.0423991,0.095494,0.00209004,0.0031105,0.014906,0.01009988,0.0092283,0.013624,0.097276138,0.0257144,0.017573,0.05073001,0.0042617,0.069527,0.0028018,0.0025103,0.013747,0.0019007,0.0022613,0.006816,0.0027119,0.0025075,0.00276,0.0317526,0.034259,0.062645,0.004472,0.002543,0.015558,0.0025241,0.0047112,0.0239,0.0268071,0.020354,0.007285,0.0796306,0.0204107,0.119931
moving,0.0038727,0.004904,0.02449,0.005022,0.002928,0.024177,0.009274,0.0037372,0.020309,0.0121135,0.0036905,0.018841,0.0113603,0.0027149,0.021395,0.0189022,0.003226,0.01754,0.117486,0.0262327,0.059826,0.1151715,0.0309989,0.126623,0.0076894,0.0078772,0.023649,0.02785506,0.0069289,0.045389,0.026043597,0.0159845,0.040782,0.016473151,0.0117397,0.053571,0.0038089,0.004754,0.022735,0.0025696,0.0038928,0.017353,0.0007273,0.0020334,0.001744,0.0020457,0.0016151,0.003122,0.0035503,0.0077314,0.028438,0.0043702,0.002871,0.023446,0.2380512,0.051527,0.186121,0.2407967,0.0513974,0.186453
