Label,HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,Head X,Head Y,Head Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
walking,0.050271,0.02817676,0.393949,0.0566565,0.0266744,0.395689,0.094404,0.0174821,0.39831,0.0695612,0.037586,0.36063,0.0749996,0.0275276,0.364522,0.05390935,0.0592257,0.380395,0.04017629,0.0460773,0.373402,0.083687371,0.0472576,0.380148,0.0823625,0.0380333,0.374997,0.0512349,0.0580528,0.365206,0.0889088,0.0762553,0.35761,0.1162266,0.0901331,0.438553,0.0420126,0.0331979,0.382815,0.0176342,0.0420878,0.444543,0.0201092,0.0715666,0.660405,0.0213405,0.0717378,0.659235,0.0459838,0.0323482,0.405183,0.0277064,0.0449915,0.357534,0.0340904,0.0500042,0.245893,0.0353217,0.0716451,0.244722
walking,0.0288914,0.01686067,0.191666,0.0280312,0.0165777,0.192483,0.0390254,0.0151344,0.193741,0.0125225,0.019277,0.186258,0.02727085,0.0203504,0.176105,0.02975833,0.0339904,0.153077,0.01768208,0.0220781,0.134655,0.01361874,0.0240605,0.196151,0.0253791,0.0274126,0.190959,0.0288501,0.033984,0.198597,0.0661308,0.0256634,0.22277,0.0980491,0.0413323,0.22797,0.0310445,0.020627264,0.191059,0.0206807,0.0568798,0.208009,0.0182007,0.0534404,0.139464,0.0328519,0.0941589,0.217761,0.0287137,0.016763113,0.191342,0.0536226,0.0470135,0.19394,0.0502969,0.1075453,0.448344,0.0343739,0.1401737,0.437088
walking,0.0043336,0.00423313,0.065798,0.0041109,0.0031248,0.066936,0.0042215,0.0036093,0.072307,0.0017571,0.0061137,0.061871,0.00846596,0.0057104,0.067272,0.00824298,0.00323,0.063185,0.018616824,0.013143,0.079037,0.011593068,0.0116459,0.057681,0.0034531,0.0032097,0.075606,0.0078634,0.0102973,0.086458,0.013138,0.0070344,0.083004,0.0131368,0.0087457,0.069156,0.0030484,0.00271537,0.064882,0.0163129,0.0219572,0.135921,0.0144114,0.032352,0.143897,0.0167991,0.0437326,0.203963,0.0059059,0.00632512,0.065034,0.0075985,0.015114,0.029601,0.0146823,0.0202113,0.007626,0.0397956,0.0493981,0.068672
walking,0.0069406,0.0118997,0.062583,0.006558,0.01340114,0.061975,0.0157519,0.020654,0.058724,0.0104977,0.0193736,0.0664,0.00842735,0.0110824,0.070352,0.00982375,0.0203657,0.054274,0.021260799,0.0238012,0.049231,0.018988462,0.0167685,0.065985,0.0087548,0.0121649,0.056846,0.0116567,0.013369,0.057191,0.0115277,0.0145119,0.056109,0.0266031,0.00962649,0.05251,0.0079099,0.01209176,0.064105,0.0257105,0.0270441,0.068069,0.0289349,0.0384001,0.105534,0.0263013,0.0385515,0.106419,0.0070781,0.01108405,0.062065,0.0149402,0.0490479,0.054074,0.0046266,0.0456136,0.029383,0.0287726,0.0456863,0.072331
walking,0.0124614,0.012594419,0.02738,0.0122865,0.01140861,0.027584,0.0109302,0.0062172,0.028422,0.0129451,0.0050633,0.0304,0.0111209,0.0080947,0.047086,0.01108233,0.0079962,0.039561,0.01175873,0.00549998,0.045602,0.01953424,0.01236098,0.060538,0.011317,0.0105655,0.028163,0.018328,0.0139771,0.035213,0.0178446,0.01101469,0.036356,0.0158684,0.0080774,0.039795,0.0121255,0.01416949,0.031648,0.0080466,0.0057393,0.026289,0.0035591,0.002259,0.009861,0.0044547,0.0023172,0.011902,0.0132111,0.01178711,0.029541,0.0100005,0.0076128,0.036289,0.0084339,0.0147052,0.026906,0.0113257,0.0147634,0.025853
walking,0.22303802,0.05200722,0.349677,0.225443581,0.03920032,0.365056,0.20813693,0.058608,0.362155,0.20084579,0.0374617,0.364365,0.21044894,0.0502466,0.356802,0.19865012,0.0545003,0.337145,0.2152893,0.05749557,0.323075,0.2171718,0.05845005,0.322518,0.18606399,0.0622926,0.342512,0.156491562,0.1080584,0.361154,0.1400941,0.0904006,0.399819,0.1567034,0.09285457,0.380723,0.22400813,0.033668101,0.324432,0.14643005,0.0228066,0.390345,0.18070556,0.1229002,0.373535,0.14277382,0.1521887,0.403774,0.219423202,0.037258495,0.37752,0.316917194,0.0606501,0.43981,0.37805017,0.0875858,0.387582,0.34764645,0.0879644,0.390191
walking,0.086777,0.1352939,1.296664,0.0962984,0.120916,1.292367,0.158521,0.0769968,1.294906,0.2154461,0.071215,1.171101,0.27890199,0.125081,1.464606,0.37053239,0.1754666,1.598956,0.5413435,0.1423498,1.405301,0.61967989,0.1159611,1.292428,0.0719901,0.1104582,1.332928,0.1083123,0.2090224,1.452116,0.1574314,0.1937234,1.181266,0.2114218,0.19245139,1.114328,0.1108426,0.11426851,1.364692,0.0940839,0.0787937,1.291745,0.0757378,0.1835157,1.54922,0.0325746,0.2027901,1.464608,0.0763944,0.11111482,1.224224,0.0655558,0.1120649,1.282259,0.1171098,0.1597827,1.298197,0.1367196,0.1582085,1.304251
walking,0.0096893,0.0115175,0.155654,0.0124019,0.0116003,0.155949,0.0248227,0.0120248,0.157033,0.0236285,0.0136948,0.159755,0.011758725,0.0067734,0.14276,0.01703782,0.0132503,0.125931,0.01781064,0.0091532,0.129034,0.02334412,0.01934394,0.076861,0.0166646,0.0546222,0.174932,0.0178896,0.0219555,0.172687,0.0227296,0.0233,0.183567,0.0400193,0.0242747,0.191846,0.0052957,0.00892368,0.157452,0.0051788,0.0236414,0.197105,0.0132043,0.0284377,0.119614,0.0194718,0.0292714,0.117077,0.0077319,0.01385105,0.153197,0.0093596,0.0132888,0.122925,0.0205375,0.0187882,0.016268,0.0307839,0.0441384,0.054627
walking,0.0051448,0.0091076,0.043924,0.007591,0.0072572,0.043654,0.0202988,0.0114654,0.040166,0.0123205,0.0068313,0.036446,0.009948105,0.0088618,0.039346,0.00838236,0.0130249,0.051742,0.0102494,0.0161935,0.041137,0.00772645,0.02022626,0.063367,0.0097743,0.0064047,0.043696,0.0138267,0.0167687,0.057522,0.0199848,0.0133348,0.060975,0.0290474,0.0155067,0.058966,0.0026425,0.01000974,0.0446,0.0208002,0.015495,0.060734,0.0267402,0.0334263,0.128635,0.0565463,0.048742,0.140138,0.0036305,0.00673869,0.044733,0.002915,0.0041105,0.034742,0.0573035,0.0360873,0.014599,0.0377107,0.0057051,0.078653
walking,0.0101322,0.0133666,0.048546,0.0100504,0.01287,0.048033,0.0127482,0.010147,0.045199,0.0203507,0.016722,0.041525,0.01387562,0.0176686,0.057102,0.01169095,0.0163634,0.040435,0.00890109,0.01418908,0.043461,0.01561335,0.02120306,0.063871,0.0157967,0.016845,0.049469,0.0119368,0.0114325,0.041103,0.031629,0.0212881,0.066242,0.021227,0.02373792,0.065372,0.0103167,0.01336831,0.04699,0.01949901,0.0121697,0.06603,0.0096274,0.0107506,0.042016,0.01006933,0.0103702,0.041592,0.012887,0.01346256,0.051273,0.0072519,0.0111685,0.044262,0.0104704,0.0100834,0.021331,0.0114235,0.0095932,0.021314
walking,0.0430419,0.00329384,0.056221,0.0458615,0.0032045,0.053158,0.0713557,0.0023537,0.041012,0.1117984,0.0073725,0.055958,0.05527685,0.0278616,0.045163,0.04816449,0.016652,0.041014,0.02533758,0.05978072,0.050658,0.03593226,0.074156955,0.065739,0.0688755,0.0102528,0.051403,0.0455592,0.0141282,0.062204,0.0104099,0.03654013,0.064097,0.0313395,0.02862996,0.113282,0.0362386,0.00398028,0.05861,0.0155171,0.0094977,0.059031,0.0135169,0.0115603,0.029548,0.0468515,0.0375407,0.105916,0.0386979,0.00277859,0.058007,0.0107995,0.0151392,0.040229,0.0064457,0.0062641,0.014868,0.0314998,0.0226998,0.128439
walking,0.07998,0.0385588,0.329961,0.0736152,0.0478086,0.341431,0.0838635,0.0803213,0.364521,0.1142208,0.0900612,0.403291,0.0789494,0.030361,0.361765,0.0942845,0.0439133,0.370903,0.0697395,0.03790909,0.352236,0.0615578,0.04301058,0.383211,0.1090938,0.0482692,0.33422,0.1025878,0.0483876,0.420428,0.024164,0.032809403,0.336472,0.0932186,0.03691749,0.305154,0.0746075,0.03965646,0.332093,0.1114942,0.0516737,0.372732,0.1585985,0.0545128,0.4925,0.1497694,0.0554744,0.445417,0.0835384,0.03414265,0.337571,0.0849985,0.0688554,0.316647,0.0843164,0.065112,0.327233,0.0597719,0.0865448,0.223877
